prefecture,time,value
Shizuoka-ken,2006,3795
Aichi-ken,2006,7307
Mie-ken,2006,1872
Shiga-ken,2006,1390
Kyoto-fu,2006,2646
Osaka-fu,2006,8828
Hyogo-ken,2006,5592
Nara-ken,2006,1417
Wakayama-ken,2006,1029
Tottori-ken,2006,604
Shimane-ken,2006,737
Okayama-ken,2006,1956
Hiroshima-ken,2006,2875
Yamaguchi-ken,2006,1484
Tokushima-ken,2006,806
Kagawa-ken,2006,1009
Ehime-ken,2006,1460
Kochi-ken,2006,790
Fukuoka-ken,2006,5057
Saga-ken,2006,863
Nagasaki-ken,2006,1467
Kumamoto-ken,2006,1838
Oita-ken,2006,1207
Miyazaki-ken,2006,1150
Kagoshima-ken,2006,1744
Okinawa-ken,2006,1369
Hokkaido,2007,5579
Aomori-ken,2007,1409
Iwate-ken,2007,1364
Miyagi-ken,2007,2354
Akita-ken,2007,1121
Yamagata-ken,2007,1198
Fukushima-ken,2007,2067
Ibaraki-ken,2007,2973
Tochigi-ken,2007,2016
Gumma-ken,2007,2020
Saitama-ken,2007,7106
Chiba-ken,2007,6119
Tokyo-to,2007,12848
Kanagawa-ken,2007,8912
Niigata-ken,2007,2408
Toyama-ken,2007,1107
Ishikawa-ken,2007,1173
Fukui-ken,2007,817
Yamanashi-ken,2007,877
Nagano-ken,2007,2182
Gifu-ken,2007,2104
Shizuoka-ken,2007,3796
Aichi-ken,2007,7357
Mie-ken,2007,1873
Shiga-ken,2007,1398
Kyoto-fu,2007,2643
Osaka-fu,2007,8839
Hyogo-ken,2007,5593
Nara-ken,2007,1413
Wakayama-ken,2007,1021
Tottori-ken,2007,601
Shimane-ken,2007,733
Okayama-ken,2007,1956
Hiroshima-ken,2007,2874
Yamaguchi-ken,2007,1476
Tokushima-ken,2007,800
Kagawa-ken,2007,1006
Ehime-ken,2007,1453
Kochi-ken,2007,783
Fukuoka-ken,2007,5061
Saga-ken,2007,860
Nagasaki-ken,2007,1455
Kumamoto-ken,2007,1832
Oita-ken,2007,1206
Miyazaki-ken,2007,1146
Kagoshima-ken,2007,1733
Okinawa-ken,2007,1374
Hokkaido,2008,5548
Aomori-ken,2008,1395
Iwate-ken,2008,1352
Miyagi-ken,2008,2349
Akita-ken,2008,1109
Yamagata-ken,2008,1188
Fukushima-ken,2008,2054
Ibaraki-ken,2008,2971
Tochigi-ken,2008,2015
Gumma-ken,2008,2017
Saitama-ken,2008,7136
Chiba-ken,2008,6153
Tokyo-to,2008,12973
Kanagawa-ken,2008,8965
Niigata-ken,2008,2396
Toyama-ken,2008,1103
Ishikawa-ken,2008,1172
Fukui-ken,2008,814
Yamanashi-ken,2008,871
Nagano-ken,2008,2173
Gifu-ken,2008,2100
Shizuoka-ken,2008,3793
Aichi-ken,2008,7399
Mie-ken,2008,1871
Shiga-ken,2008,1405
Kyoto-fu,2008,2640
Osaka-fu,2008,8847
Hyogo-ken,2008,5592
Nara-ken,2008,1407
Wakayama-ken,2008,1014
Tottori-ken,2008,596
Shimane-ken,2008,727
Okayama-ken,2008,1953
Hiroshima-ken,2008,2870
Yamaguchi-ken,2008,1466
Tokushima-ken,2008,795
Kagawa-ken,2008,1003
Ehime-ken,2008,1445
Kochi-ken,2008,775
Fukuoka-ken,2008,5062
Saga-ken,2008,856
Nagasaki-ken,2008,1443
Kumamoto-ken,2008,1826
Oita-ken,2008,1204
Miyazaki-ken,2008,1141
Kagoshima-ken,2008,1721
Okinawa-ken,2008,1378
Hokkaido,2009,5524
Aomori-ken,2009,1383
Iwate-ken,2009,1340
Miyagi-ken,2009,2348
Akita-ken,2009,1097
Yamagata-ken,2009,1178
Fukushima-ken,2009,2041
Ibaraki-ken,2009,2970
Tochigi-ken,2009,2011
Gumma-ken,2009,2014
Saitama-ken,2009,7161
Chiba-ken,2009,6180
Tokyo-to,2009,13048
Kanagawa-ken,2009,9006
Niigata-ken,2009,2385
Toyama-ken,2009,1098
Ishikawa-ken,2009,1171
Fukui-ken,2009,810
Yamanashi-ken,2009,867
Nagano-ken,2009,2162
Gifu-ken,2009,2091
Shizuoka-ken,2009,3783
Aichi-ken,2009,7411
Mie-ken,2009,1864
Shiga-ken,2009,1409
Kyoto-fu,2009,2637
Osaka-fu,2009,8855
Hyogo-ken,2009,5591
Nara-ken,2009,1404
Wakayama-ken,2009,1008
Tottori-ken,2009,592
Shimane-ken,2009,721
Okayama-ken,2009,1949
Hiroshima-ken,2009,2864
Yamaguchi-ken,2009,1459
Tokushima-ken,2009,790
Kagawa-ken,2009,999
Ehime-ken,2009,1438
Kochi-ken,2009,769
Fukuoka-ken,2009,5064
Saga-ken,2009,853
Nagasaki-ken,2009,1434
Kumamoto-ken,2009,1821
Oita-ken,2009,1200
Miyazaki-ken,2009,1138
Kagoshima-ken,2009,1712
Okinawa-ken,2009,1385
Hokkaido,2010,5506
Aomori-ken,2010,1373
Iwate-ken,2010,1330
Miyagi-ken,2010,2348
Akita-ken,2010,1086
Yamagata-ken,2010,1169
Fukushima-ken,2010,2029
Ibaraki-ken,2010,2970
Tochigi-ken,2010,2008
Gumma-ken,2010,2008
Saitama-ken,2010,7195
Chiba-ken,2010,6216
Tokyo-to,2010,13159
Kanagawa-ken,2010,9048
Niigata-ken,2010,2374
Toyama-ken,2010,1093
Ishikawa-ken,2010,1170
Fukui-ken,2010,806
Yamanashi-ken,2010,863
Nagano-ken,2010,2152
Gifu-ken,2010,2081
Shizuoka-ken,2010,3765
Aichi-ken,2010,7411
Mie-ken,2010,1855
Shiga-ken,2010,1411
Kyoto-fu,2010,2636
Osaka-fu,2010,8865
Hyogo-ken,2010,5588
Nara-ken,2010,1401
Wakayama-ken,2010,1002
Tottori-ken,2010,589
Shimane-ken,2010,717
Okayama-ken,2010,1945
Hiroshima-ken,2010,2861
Yamaguchi-ken,2010,1451
Tokushima-ken,2010,785
Kagawa-ken,2010,996
Ehime-ken,2010,1431
Kochi-ken,2010,764
Fukuoka-ken,2010,5072
Saga-ken,2010,850
Nagasaki-ken,2010,1427
Kumamoto-ken,2010,1817
Oita-ken,2010,1197
Miyazaki-ken,2010,1135
Kagoshima-ken,2010,1706
Okinawa-ken,2010,1393
Hokkaido,2011,5488
Aomori-ken,2011,1363
Iwate-ken,2011,1315
Miyagi-ken,2011,2326
Akita-ken,2011,1075
Yamagata-ken,2011,1162
Fukushima-ken,2011,1988
Ibaraki-ken,2011,2960
Tochigi-ken,2011,2000
Gumma-ken,2011,2001
Saitama-ken,2011,7209
Chiba-ken,2011,6217
Tokyo-to,2011,13198
Kanagawa-ken,2011,9060
Niigata-ken,2011,2364
Toyama-ken,2011,1088
Ishikawa-ken,2011,1167
Fukui-ken,2011,803
Yamanashi-ken,2011,857
Nagano-ken,2011,2142
Gifu-ken,2011,2071
Shizuoka-ken,2011,3752
Aichi-ken,2011,7418
Mie-ken,2011,1847
Shiga-ken,2011,1413
Kyoto-fu,2011,2633
Osaka-fu,2011,8863
Hyogo-ken,2011,5584
Nara-ken,2011,1395
Wakayama-ken,2011,995
Tottori-ken,2011,586
Shimane-ken,2011,713
Okayama-ken,2011,1941
Hiroshima-ken,2011,2858
Yamaguchi-ken,2011,1444
Tokushima-ken,2011,780
Kagawa-ken,2011,992
Ehime-ken,2011,1424
Kochi-ken,2011,758
Fukuoka-ken,2011,5081
Saga-ken,2011,847
Nagasaki-ken,2011,1418
Kumamoto-ken,2011,1813
Oita-ken,2011,1192
Miyazaki-ken,2011,1130
Kagoshima-ken,2011,1697
Okinawa-ken,2011,1402
Hokkaido,2012,5465
Aomori-ken,2012,1350
Iwate-ken,2012,1306
Miyagi-ken,2012,2329
Akita-ken,2012,1063
Yamagata-ken,2012,1153
Fukushima-ken,2012,1957
Ibaraki-ken,2012,2947
Tochigi-ken,2012,1992
Gumma-ken,2012,1994
Saitama-ken,2012,7216
Chiba-ken,2012,6200
Tokyo-to,2012,13234
Kanagawa-ken,2012,9070
Niigata-ken,2012,2350
Toyama-ken,2012,1083
Ishikawa-ken,2012,1164
Fukui-ken,2012,800
Yamanashi-ken,2012,852
Nagano-ken,2012,2132
Gifu-ken,2012,2062
Shizuoka-ken,2012,3739
Aichi-ken,2012,7431
Mie-ken,2012,1841
Shiga-ken,2012,1414
Kyoto-fu,2012,2628
Osaka-fu,2012,8861
Hyogo-ken,2012,5575
Nara-ken,2012,1388
Wakayama-ken,2012,988
Tottori-ken,2012,583
Shimane-ken,2012,708
Okayama-ken,2012,1937
Hiroshima-ken,2012,2855
Yamaguchi-ken,2012,1434
Tokushima-ken,2012,775
Kagawa-ken,2012,989
Ehime-ken,2012,1415
Kochi-ken,2012,751
Fukuoka-ken,2012,5089
Saga-ken,2012,845
Nagasaki-ken,2012,1408
Kumamoto-ken,2012,1807
Oita-ken,2012,1186
Miyazaki-ken,2012,1125
Kagoshima-ken,2012,1687
Okinawa-ken,2012,1411
Hokkaido,2013,5438
Aomori-ken,2013,1337
Iwate-ken,2013,1299
Miyagi-ken,2013,2333
Akita-ken,2013,1050
Yamagata-ken,2013,1144
Fukushima-ken,2013,1940
Ibaraki-ken,2013,2937
Tochigi-ken,2013,1986
Gumma-ken,2013,1986
Saitama-ken,2013,7228
Chiba-ken,2013,6201
Tokyo-to,2013,13307
Kanagawa-ken,2013,9084
Niigata-ken,2013,2336
Toyama-ken,2013,1077
Ishikawa-ken,2013,1160
Fukui-ken,2013,796
Yamanashi-ken,2013,847
Nagano-ken,2013,2122
Gifu-ken,2013,2053
Shizuoka-ken,2013,3730
Aichi-ken,2013,7449
Mie-ken,2013,1833
Shiga-ken,2013,1415
Kyoto-fu,2013,2622
Osaka-fu,2013,8856
Hyogo-ken,2013,5565
Nara-ken,2013,1381
Wakayama-ken,2013,980
Tottori-ken,2013,580
Shimane-ken,2013,704
Okayama-ken,2013,1932
Hiroshima-ken,2013,2850
Yamaguchi-ken,2013,1425
Tokushima-ken,2013,769
Kagawa-ken,2013,985
Ehime-ken,2013,1406
Kochi-ken,2013,743
Fukuoka-ken,2013,5096
Saga-ken,2013,841
Nagasaki-ken,2013,1397
Kumamoto-ken,2013,1801
Oita-ken,2013,1180
Miyazaki-ken,2013,1119
Kagoshima-ken,2013,1675
Okinawa-ken,2013,1419
Hokkaido,2014,5410
Aomori-ken,2014,1323
Iwate-ken,2014,1290
Miyagi-ken,2014,2335
Akita-ken,2014,1037
Yamagata-ken,2014,1134
Fukushima-ken,2014,1927
Ibaraki-ken,2014,2927
Tochigi-ken,2014,1980
Gumma-ken,2014,1979
Saitama-ken,2014,7247
Chiba-ken,2014,6209
Tokyo-to,2014,13399
Kanagawa-ken,2014,9103
Niigata-ken,2014,2320
Toyama-ken,2014,1072
Ishikawa-ken,2014,1157
Fukui-ken,2014,791
Yamanashi-ken,2014,841
Nagano-ken,2014,2110
Gifu-ken,2014,2043
Shizuoka-ken,2014,3715
Aichi-ken,2014,7464
Mie-ken,2014,1826
Shiga-ken,2014,1414
Kyoto-fu,2014,2616
Osaka-fu,2014,8845
Hyogo-ken,2014,5550
Nara-ken,2014,1373
Wakayama-ken,2014,972
Tottori-ken,2014,577
Shimane-ken,2014,699
Okayama-ken,2014,1926
Hiroshima-ken,2014,2846
Yamaguchi-ken,2014,1415
Tokushima-ken,2014,763
Kagawa-ken,2014,980
Ehime-ken,2014,1396
Kochi-ken,2014,736
Fukuoka-ken,2014,5099
Saga-ken,2014,837
Nagasaki-ken,2014,1387
Kumamoto-ken,2014,1795
Oita-ken,2014,1173
Miyazaki-ken,2014,1112
Kagoshima-ken,2014,1662
Okinawa-ken,2014,1426
Hokkaido,2015,5382
Aomori-ken,2015,1308
Iwate-ken,2015,1280
Miyagi-ken,2015,2334
Akita-ken,2015,1023
Yamagata-ken,2015,1124
Fukushima-ken,2015,1914
Ibaraki-ken,2015,2917
Tochigi-ken,2015,1974
Gumma-ken,2015,1973
Saitama-ken,2015,7267
Chiba-ken,2015,6223
Tokyo-to,2015,13515
Kanagawa-ken,2015,9126
Niigata-ken,2015,2304
Toyama-ken,2015,1066
Ishikawa-ken,2015,1154
Fukui-ken,2015,787
Yamanashi-ken,2015,835
Nagano-ken,2015,2099
Gifu-ken,2015,2032
Shizuoka-ken,2015,3700
Aichi-ken,2015,7483
Mie-ken,2015,1816
Shiga-ken,2015,1413
Kyoto-fu,2015,2610
Osaka-fu,2015,8839
Hyogo-ken,2015,5535
Nara-ken,2015,1364
Wakayama-ken,2015,964
Tottori-ken,2015,573
Shimane-ken,2015,694
Okayama-ken,2015,1922
Hiroshima-ken,2015,2844
Yamaguchi-ken,2015,1405
Tokushima-ken,2015,756
Kagawa-ken,2015,976
Ehime-ken,2015,1385
Kochi-ken,2015,728
Fukuoka-ken,2015,5102
Saga-ken,2015,833
Nagasaki-ken,2015,1377
Kumamoto-ken,2015,1786
Oita-ken,2015,1166
Miyazaki-ken,2015,1104
Kagoshima-ken,2015,1648
Okinawa-ken,2015,1434
