time_period,new_la_code,la_name,all_progressed,all_pscore
2015,E08000036,Wakefield,56.190909090909095,-2.909090909090909
2015,E08000037,Gateshead,53.32727272727273,-4.545454545454546
2015,E09000001,City of London,,
2015,E09000002,Barking and Dagenham,58.6,4.2727272727272725
2015,E09000003,Barnet,77.81818181818181,5.909090909090909
2015,E09000004,Bexley,68.75,-0.75
2015,E09000005,Brent,71.76363636363637,10.454545454545455
2015,E09000006,Bromley,56.654545454545456,-3.1818181818181817
2015,E09000007,Camden,71.98181818181818,12.272727272727273
2015,E09000008,Croydon,62.98181818181818,7.818181818181818
2015,E09000009,Ealing,80.5,14.25
2015,E09000010,Enfield,64.14545454545454,6.454545454545454
2015,E09000011,Greenwich,69.35,9.625
2015,E09000012,Hackney,72.46363636363637,10.636363636363637
2015,E09000013,Hammersmith and Fulham,68.4090909090909,11.545454545454545
