TOWN11CD,Education Score
E34004474,2.64463959
E34004479,-2.213822897
E34004483,-0.144563264
E34004484,1.619693343
E34004485,1.577351621
E34004487,5.29425431
E34004546,0.210796382
E35000002,-2.093097462
E35000003,-3.138242326
E35000004,0.668924889
E35000006,-0.20031761
E35000012,2.76260053
E35000013,-2.030138243
E35000015,6.078762266
E35000021,4.724757799
E35000027,4.543595327
E35000032,-3.782613636
E35000033,-1.389753081
E35000035,-2.582295807
E35000036,-6.402588954
E35000037,-0.003561658
E35000042,0.34501103
E35000043,1.418465375
E35000044,3.266720159
E35000050,6.310770217
E35000051,0.516037835
E35000052,-1.224758485
E35000056,9.278331945
E35000057,0.543713177
E35000064,7.639190791
E35000067,-0.934462623
E35000069,0.579966036
E35000070,-2.439171484
E35000071,-1.713020244
E35000072,0.956416398
E35000079,-5.396252285
E35000083,8.212058793
E35000084,-1.646120303
E35000088,0.137847463
E35000092,-2.198733131
E35000101,-2.359283201
E35000104,3.256692068
E35000106,0.007992804
E35000108,-2.06492402
E35000114,2.22129998
E35000115,0.274278812
E35000120,-0.062317391
E35000121,4.216899186
E35000125,4.588403915
E35000131,-2.084542454
E35000135,-2.554599143
E35000136,1.494028346
E35000137,4.329882844
E35000138,2.961247974
E35000141,9.436415769
E35000142,9.481922058
E35000146,-0.64520719
E35000148,-1.572479804
E35000153,0.297788337
E35000157,-1.360599159
E35000158,-5.914195291
E35000159,-1.012782303
E35000166,3.101443415
E35000170,1.676588847
E35000173,-0.639161991
E35000175,-4.213214985
E35000181,-2.782262982
E35000183,-0.137521472
E35000191,-2.122974794
E35000193,1.302890147
E35000194,2.580287156
E35000198,-0.338993657
E35000202,-1.58142348
E35000203,-0.986711753
E35000207,-1.656571902
E35000218,-1.085901732
E35000219,-2.156351207
E35000220,-1.206411528
E35000224,3.840141386
E35000225,-1.811253124
E35000229,-1.425647801
E35000230,-2.180692894
E35000236,8.063923033
E35000243,6.056482702
E35000246,0.879268136
E35000247,-3.973907614
E35000248,3.16352695
E35000251,4.068887671
E35000252,6.779463444
E35000254,0.284171701
E35000255,2.878987054
E35000257,-3.240896417
E35000258,-2.756130842
E35000260,0.666461582
E35000262,6.029443478
E35000267,-3.974575654
E35000268,1.762950972
E35000277,-1.577901901
E35000278,1.73714735
E35000279,2.397830523
E35000280,-0.62557946
E35000281,2.727162075
E35000284,-3.209162913
E35000289,-0.300604437
E35000294,5.520220795
E35000295,-5.195221651
E35000297,-3.054432815
E35000298,-0.16735383
E35000300,-0.396774338
E35000312,-4.369479427
E35000316,-2.491062456
E35000317,-0.711623244
E35000322,8.023612449
E35000326,-0.02223226
E35000334,-2.256889066
E35000338,5.793173582
E35000339,-6.351488055
E35000343,5.065109445
E35000347,3.95902288
E35000348,1.543776057
E35000354,6.903651622
E35000355,-2.824429521
E35000357,2.382700835
E35000358,3.926932387
E35000359,-1.355545101
E35000360,-0.572072407
E35000362,-1.978006498
E35000363,-0.496324682
E35000364,2.405694248
E35000368,-0.13571104
E35000378,-6.356277691
E35000380,-1.851598092
E35000381,-3.76077978
E35000382,-1.342192217
E35000386,2.110547111
E35000387,4.080223424
E35000388,-2.189665402
E35000390,-1.008837714
E35000397,-3.29543406
E35000398,-1.245036256
E35000402,-2.798036346
E35000403,0.173554969
E35000404,1.889118975
E35000405,-2.003480579
E35000414,1.627297372
E35000417,4.45905833
E35000418,-1.788450725
E35000419,-4.017804063
E35000422,-4.166607118
E35000424,-1.471898725
E35000427,3.184527723
E35000429,0.944128339
E35000431,-3.006915502
E35000436,-2.474376394
E35000438,-9.285628136
E35000439,-3.625104199
E35000440,2.696693887
E35000441,2.106567892
E35000442,2.972648349
E35000444,8.083936642
E35000450,-2.019440204
E35000453,-4.610811628
E35000455,-2.361691643
E35000458,-1.57866511
E35000462,-0.507146946
E35000465,6.676941382
E35000467,-3.537825076
E35000470,4.159398797
E35000473,-0.659305957
E35000475,-0.240877993
E35000476,2.057541141
E35000477,0.732661067
E35000481,0.735865707
E35000483,6.372935408
E35000485,11.87150502
E35000486,-1.781852104
E35000487,0.925170267
E35000490,2.52457092
E35000491,-4.738558725
E35000498,-4.684084881
E35000499,-3.595444977
E35000502,-1.33631924
E35000507,-0.032310942
E35000508,3.32526577
E35000510,3.94853063
E35000513,0.918000858
E35000514,2.577659281
E35000516,-6.160463498
E35000523,-0.535595687
E35000528,-2.212082553
E35000529,-6.952849356
E35000538,-3.835224167
E35000549,5.573030387
E35000550,3.527385471
E35000551,-0.433249073
E35000553,3.387639399
E35000562,-1.30866886
E35000563,3.211539844
